+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
|           activity_id            | results |   GLM    | GLM/result | batches | GLM/batch | > 0.00097 |        status        |
+----------------------------------+---------+----------+------------+---------+-----------+-----------+----------------------+
| 6  | 4aa735ced05b4b82b2f916fce96cec66 |   0.25  | 0.000442 |  0.001792  |    1    |  0.000442 |     X      | Dead [unknown reason] |
| 7  | 59737baf101d48b88d277ac8bf3cb592 |   30.8  | 0.010555 |  0.000343  |   125   |  0.000084 |     X      |  Dead [too expensive] |
| 8  | 0389efe7f11940b788c5bb3f8359bc98 |  110.9  | 0.003542 |  0.000034  |   450   |  0.000008 |     X      |           ok          |
| 9  | 2cdeda4bae1747ffbe8ff5350c7bca10 |   0.25  | 0.000314 |  0.001274  |    1    |  0.000314 |     X      | Dead [unknown reason] |
| 10 | 0e95f1f074924fa3a77942de12c81f45 |  23.41  | 0.019924 |  0.000851  |    95   |  0.000210 |     X      |  Dead [too expensive] |
| 11 | 61dde8d791e14470a22838925ee65ede |   0.25  | 0.000468 |  0.001898  |    1    |  0.000468 |     X      | Dead [unknown reason] |
| 12 | 457a2bb35c9348d1bf998495de4001f0 |  38.94  | 0.001840 |  0.000047  |   158   |  0.000012 |     X      |  Dead [too expensive] |
| 13 | 01b845617c1d47499a1e840aa84d4785 |  47.32  | 0.002065 |  0.000044  |   192   |  0.000011 |     X      |  Dead [too expensive] |
| 14 | d1a3e9a47da2443281bd00d1fe4132e8 |   0.25  | 0.000042 |  0.000169  |    1    |  0.000042 |     X      | Dead [unknown reason] |
| 15 | b124247a342e4ba0a723a715a0d792e2 |   0.74  | 0.000147 |  0.000199  |    3    |  0.000049 |     X      |   Dead [weak worker]  |
| 16 | 0126c64f45b74dfaa72e524db108278b |   0.74  | 0.002461 |  0.003329  |    3    |  0.000820 |     X      |   Dead [weak worker]  |
| 17 | 237ca7caedd04324a12d2115e6da3c29 |  180.14 | 0.006259 |  0.000035  |   731   |  0.000009 |     X      |           ok          |
| 18 | cceccf4cce0a4f3c94a10fe375a3d656 |   0.74  | 0.000069 |  0.000093  |    3    |  0.000023 |     X      | Dead [unknown reason] |
| 19 | c68ad2a867d0400a8480753052b1806b |   0.99  | 0.000680 |  0.000690  |    4    |  0.000170 |     X      | Dead [unknown reason] |
| 20 | a0b68734b4184c30b7d05c64e44f078d |   0.25  | 0.000007 |  0.000028  |    1    |  0.000007 |     X      | Dead [unknown reason] |
| 21 | 45b0abe54e914dc5ae40d622bab8bfee |  127.9  | 0.001308 |  0.000010  |   519   |  0.000003 |            |           ok          |
| 22 | 9bbac4a0d8e84d94b2377f5b5e2176fd |   0.74  | 0.000049 |  0.000066  |    3    |  0.000016 |     X      |   Dead [weak worker]  |
| 23 | f92ae71ae1dd48c6a939caf4a473e54e |  46.33  | 0.001149 |  0.000026  |   188   |  0.000006 |     X      |           ok          |
| 24 | 4857ec9a9fff4c09b348f74c0868c514 |   0.25  | 0.000006 |  0.000026  |    1    |  0.000006 |     X      | Dead [unknown reason] |
| 25 | 2938963f5c5948fa8767f267355a181d |  183.84 | 0.002185 |  0.000012  |   746   |  0.000003 |            |           ok          |
| 26 | c6900c1cd1f749598304e6a73cdb09fe |  134.8  | 0.004052 |  0.000030  |   547   |  0.000007 |     X      |           ok          |
| 27 | b301af26665d430dabfe4ffa307dc482 |  50.27  | 0.001856 |  0.000038  |   204   |  0.000009 |     X      |           ok          |
| 28 | a377118a22884c7e9959efc3066cdaa0 |  19.47  | 0.007353 |  0.000378  |    79   |  0.000093 |     X      |  Dead [too expensive] |
| 29 | 9d427d716c164268ab00b48c1cb9baae |  201.83 | 0.000372 |  0.000002  |   819   |     0     |            |           ok          |
| 30 | d5929387fb864fee842cc4b7b2580c09 |   0.25  | 0.000009 |  0.000037  |    1    |  0.000009 |     X      | Dead [unknown reason] |
| 31 | 1c0b52ef3eb842529ec2d0116993e2c9 |  133.57 | 0.000372 |  0.000003  |   542   |  0.000001 |            |           ok          |
| 32 | 5b1407296c954408b32fc60bc265406b |   0.74  | 0.000002 |  0.000003  |    3    |  0.000001 |            | Dead [unknown reason] |
| 33 | d09c46ea3d7d46cb82aea5ed27ff0fbf |  107.2  | 0.000628 |  0.000006  |   435   |  0.000001 |            |           ok          |
| 34 | b2907686d94c45bc8576584d40cfbd98 |   0.49  | 0.000001 |  0.000002  |    2    |  0.000001 |            | Dead [unknown reason] |
| 35 | 99173305ce8e43c4aa85b318c203ea5f |  119.52 | 0.000410 |  0.000004  |   485   |  0.000001 |            |           ok          |
| 36 | 0d9813ebd8784e15b645e27e6674be08 |  92.41  | 0.000449 |  0.000005  |   375   |  0.000001 |            |           ok          |
| 37 | 5570e3fbd06d403ba8da9a723dcfdc5c |   0.74  | 0.000002 |  0.000003  |    3    |  0.000001 |            | Dead [unknown reason] |
| 38 | 26770434555a4f9c88a7c117259daf0c |   0.49  | 0.000010 |  0.000020  |    2    |  0.000005 |            |          new          |
(...)
|    |              TOTAL               |   2403  | 0.080811 |  0.000034  |   9751  |  0.000008 |     X      |                       |
+----+----------------------------------+---------+----------+------------+---------+-----------+------------+-----------------------+

